Course_Name,rating,topics covered,Designed for,Certification Type,Duration
Google Data Analytics,4.8,"[' Data Analysis, R Programming, SQL, Spreadsheet Software, Business Analysis, Business Communication, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software']",Beginner , Professional Certificate , 3 - 6 Months
Google Cybersecurity,4.8,"[' Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Audit, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL']",Beginner , Professional Certificate , 3 - 6 Months
Google Project Management:,4.8,"[' Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement']",Beginner , Professional Certificate , 3 - 6 Months
Google Digital Marketing & E-commerce,4.8,"[' Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis']",Beginner , Professional Certificate , 3 - 6 Months
Google IT Support,4.8,"[' Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Computer Architecture, Critical Thinking, Problem Solving, Communication, Human Computer Interaction, Network Security, Linux, System Security, Cloud Computing, Computer Programming, Customer Support, Cryptography, Leadership and Management, Operating Systems']",Beginner , Professional Certificate , 3 - 6 Months
Google UX Design,4.8,"[' User Experience, User Experience Design, User Research, Audit, Human Computer Interaction, Planning, Product Design, Product Development, Web Design, Web Development Tools']",Beginner , Professional Certificate , 3 - 6 Months
Machine Learning,4.9,"[' Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Python Programming, Regression, Statistical Machine Learning, Mathematics, Tensorflow, Critical Thinking, Network Model, Training, Reinforcement Learning']",Beginner , Specialization , 1 - 3 Months
Google AI Essentials,4.6,[],Beginner , Course , 1 - 3 Months
IBM Data Science,4.6,"[' Python Programming, Data Science, Machine Learning, Data Analysis, Human Learning, R Programming, Algorithms, Data Visualization, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Big Data, Cloud Computing, Computer Programming, Data Mining, Databases, IBM Cloud, SQL, Writing']",Beginner , Professional Certificate , 3 - 6 Months
IBM Data Analyst,4.6,"[' Python Programming, Microsoft Excel, Data Visualization, Spreadsheet Software, Plot (Graphics), Data Analysis, Exploratory Data Analysis, Statistical Visualization, Data Management, Data Structures, Databases, SQL, Big Data, Business Analysis, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Computer Programming, Data Visualization Software, Interactive Data Visualization, Machine Learning, Machine Learning Algorithms, Probability & Statistics, Regression']",Beginner , Professional Certificate , 3 - 6 Months
Deep Learning,4.8,"[' Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Data Model, Exploratory Data Analysis, Organizational Development, Process Analysis, Strategy, Computational Logic, Mathematics, Mathematical Theory & Analysis, Regression, Calculus']",Intermediate , Specialization , 3 - 6 Months
Introduction to Data Science,4.6,"[' Data Science, R Programming, Data Analysis, Data Model, Machine Learning, Python Programming, Statistical Machine Learning, Big Data, Cloud Computing, Computer Programming, Data Mining, Databases, Deep Learning, IBM Cloud, Regression, SQL, Writing']",Beginner , Specialization , 3 - 6 Months
Data Science Fundamentals with Python and SQL,4.6,"[' Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Data Science, Data Visualization, R Programming, Computer Programming, Cloud Computing, Databases, IBM Cloud, SQL']",Beginner , Specialization , 3 - 6 Months
IBM AI Developer,4.6,"[' Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Python Programming, Cloud Computing, Computer Vision, Human Learning, IBM Cloud, Algorithms, Applied Machine Learning, Machine Learning Software, Computer Programming, Cloud API, Cloud Applications, Computer Programming Tools, Human Computer Interaction, Natural Language Processing, Application Development, Visualization (Computer Graphics), Adaptability, Software Engineering Tools, Cloud-Based Integration, User Experience Design, Communication, Software Engineering, Interactive Data Visualization, Data Analysis, Programming Principles, Software Architecture, Agile Software Development, Product Management, Software Testing, Javascript, Data Science']",Beginner , Professional Certificate , 3 - 6 Months
IBM DevOps and Software Engineering,4.6,"[' DevOps, Software Engineering, Computer Programming, Application Development, Cloud Computing, Python Programming, Software Testing, Agile Software Development, Continuous Integration, Security Engineering, Continuous Delivery, Programming Principles, Software Engineering Tools, Kubernetes, Software Architecture, Cloud Applications, Communication, Software Security, Docker (Software), IBM Cloud, Product Management, Scrum (Software Development), User Experience Design, Linux, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions']",Beginner , Professional Certificate , 3 - 6 Months
Applied Data Science,4.6,"[' Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression']",Beginner , Specialization , 3 - 6 Months
IBM Full Stack Software Developer,4.6,"[' Cloud Computing, IBM Cloud, Cloud Applications, Javascript, Python Programming, Cloud Management, Cloud Infrastructure, Cloud Platforms, Computer Programming, Web Development, Cloud API, Cloud Storage, DevOps, Docker (Software), Continuous Integration, Full-Stack Web Development, Software As A Service, Kubernetes, Software Testing, Application Development, Cloud-Based Integration, Continuous Delivery, Software Engineering, Django (Web Framework), NoSQL, SQL, Software Engineering Tools, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)']",Beginner , Professional Certificate , 3 - 6 Months
IBM Data Engineering,4.6,"[' Data Management, Extract, Transform, Load, Apache, Python Programming, Databases, Big Data, Data Warehousing, Database Administration, Distributed Computing Architecture, Data Engineering, Computer Programming, Data Mining, Data Structures, Machine Learning, Data Visualization, Process Analysis, Data Architecture, Cloud Computing, Data Analysis, Kubernetes, NoSQL, SQL, System Programming, Leadership and Management, Operational Analysis, Warehouse Management, Business Intelligence, Data Visualization Software, IBM Cloud, Linux, Network Security, Statistical Programming, Data Science, PostgreSQL']",Beginner , Professional Certificate , 3 - 6 Months
